"任务ID","父任务","任务名称","优先级","责任建议","预计工作量","当前状态","主要交付物","验收标准"
"T01","P0 核心链路修复","修复注册流程闭环","P0","后端主责，前端配合","0.5-1 人天","待开始","补齐 nickname、手机号唯一校验、参数校验、统一错误提示","新用户可注册；重复用户名和手机号可拦截；必填项缺失不写库"
"T02","P0 核心链路修复","密码安全与配置治理第一轮","P0","后端主责","1 人天","待开始","密码哈希存储、环境变量配置、生产环境保护","数据库不存明文密码；生产环境无默认密钥；登录仍可用"
"T03","P0 核心链路修复","打通图片/视频上传闭环","P0","前后端协作","1-1.5 人天","待开始","前端上传流程、后端文件校验、静态资源访问","图片视频上传后可访问；刷新和重启后仍有效"
"T04","P0 核心链路修复","修复分享链路为真实可用","P0","后端主责，前端配合","1 人天","待开始","分享记录落库、基础地址配置、分享访问逻辑","分享链接可打开；服务重启后不失效；无效 token 有明确提示"
"T05","P1 功能补齐","修正首页/个人中心/地图统计口径","P1","前后端协作","0.5-1 人天","待开始","统一统计接口和前端展示逻辑","三处统计数据一致；删除日记后统计同步更新"
"T06","P1 功能补齐","补齐个人资料编辑能力","P1","前后端协作","1 人天","待开始","编辑资料页、资料更新接口、表单校验","修改昵称和手机号后可持久化；非法数据不可提交"
"T07","P1 功能补齐","AI 分析结果落库与复用","P1","后端主责，前端配合","1-1.5 人天","待开始","AIAnalysis 落库、历史结果读取、详情页展示","分析结果刷新和重启后仍可查看；空内容不可分析"
"T08","P1 功能补齐","补充公开分享页","P1","前端主责，后端配合","1 人天","待开始","公开分享页面、异常 token 空态页","未登录用户可查看公开内容；页面不泄露私密信息"
"T09","P2 版本增强","补充草稿保存和自动恢复","P2","前端主责","0.5-1 人天","待开始","本地草稿缓存、自动恢复、提交后清理","离开编辑页后可恢复；发布后旧草稿自动清理"
"T10","P2 版本增强","后续能力扩展储备","P2","按资源排期","2-5 人天","规划中","COS、富文本、图片识别、后台管理、审计日志","形成下一迭代明确范围与技术方案"
